Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD11A1_006_Line_Y_1km,MOD11A1_006_Sample_X_1km,MOD11A1_006_Clear_day_cov,MOD11A1_006_Clear_night_cov,MOD11A1_006_Day_view_angl,MOD11A1_006_Day_view_time,MOD11A1_006_Emis_31,MOD11A1_006_Emis_32,MOD11A1_006_LST_Day_1km,MOD11A1_006_LST_Night_1km,MOD11A1_006_Night_view_angl,MOD11A1_006_Night_view_time,MOD11A1_006_QC_Day,MOD11A1_006_QC_Night,MOD11A1_006_QC_Day_bitmask,MOD11A1_006_QC_Day_MODLAND,MOD11A1_006_QC_Day_MODLAND_Description,MOD11A1_006_QC_Day_Data_Quality_flag,MOD11A1_006_QC_Day_Data_Quality_flag_Description,MOD11A1_006_QC_Day_Emis_Error_flag,MOD11A1_006_QC_Day_Emis_Error_flag_Description,MOD11A1_006_QC_Day_LST_Error_Flag,MOD11A1_006_QC_Day_LST_Error_Flag_Description,MOD11A1_006_QC_Night_bitmask,MOD11A1_006_QC_Night_MODLAND,MOD11A1_006_QC_Night_MODLAND_Description,MOD11A1_006_QC_Night_Data_Quality_flag,MOD11A1_006_QC_Night_Data_Quality_flag_Description,MOD11A1_006_QC_Night_Emis_Error_flag,MOD11A1_006_QC_Night_Emis_Error_flag_Description,MOD11A1_006_QC_Night_LST_Error_Flag,MOD11A1_006_QC_Night_LST_Error_Flag_Description
grandmesa,westmet,39.0339,-108.214,2020-02-04,h09v05,115,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,westmet,39.0339,-108.214,2020-02-05,h09v05,115,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,westmet,39.0339,-108.214,2020-02-06,h09v05,115,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,westmet,39.0339,-108.214,2020-02-07,h09v05,115,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,westmet,39.0339,-108.214,2020-02-08,h09v05,115,713,0.995,0.0,-4.0,10.9,0.988,0.988,272.08,0.0,255.0,255.0,0,2,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,westmet,39.0339,-108.214,2020-02-09,h09v05,115,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,westmet,39.0339,-108.214,2020-02-10,h09v05,115,713,0.405,0.0,-26.0,10.7,0.992,0.99,264.16,0.0,255.0,255.0,65,2,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,westmet,39.0339,-108.214,2020-02-11,h09v05,115,713,1.0,0.734,45.0,11.4,0.992,0.99,265.22,257.14,-29.0,21.8,8,65,0b00001000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b10,TBD,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,westmet,39.0339,-108.214,2020-02-12,h09v05,115,713,0.0,1.463,255.0,255.0,0.984,0.988,0.0,253.08,43.0,22.5,2,65,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,westmet,39.0339,-108.214,2020-02-13,h09v05,115,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,westmet,39.0339,-108.214,2020-02-14,h09v05,115,713,1.362,0.217,-55.0,10.3,0.984,0.986,271.0,262.48,26.0,22.3,65,65,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,westmet,39.0339,-108.214,2020-02-15,h09v05,115,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,westmet,39.0339,-108.214,2020-02-16,h09v05,115,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,westmet,39.0339,-108.214,2020-02-17,h09v05,115,713,0.078,1.975,-15.0,10.8,0.994,0.99,260.92,252.76,60.0,22.8,65,73,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b01001001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b10,TBD,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,westmet,39.0339,-108.214,2020-02-18,h09v05,115,713,1.9845,0.0,51.0,11.5,0.994,0.99,264.32,0.0,255.0,255.0,0,2,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,westmet,39.0339,-108.214,2020-02-19,h09v05,115,713,0.0,1.9145,255.0,255.0,0.984,0.988,0.0,259.88,49.0,22.6,2,65,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,westmet,39.0339,-108.214,2020-02-20,h09v05,115,713,1.0,1.0,38.0,11.3,0.984,0.988,265.78,253.94,-37.0,21.7,0,73,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01001001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b10,TBD,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,westmet,39.0339,-108.214,2020-02-21,h09v05,115,713,1.0,1.0,-50.0,10.4,0.984,0.986,272.64,254.4,35.0,22.4,65,65,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,westmet,39.0339,-108.214,2020-02-22,h09v05,115,713,0.0,2.0,255.0,255.0,0.984,0.988,0.0,261.84,-51.0,21.5,2,65,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,westmet,39.0339,-108.214,2020-02-23,h09v05,115,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,westmet,39.0339,-108.214,2020-02-24,h09v05,115,713,0.118,1.988,-3.0,10.9,0.992,0.99,265.26,260.52,64.0,22.9,65,65,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
